ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
30670;-687.463;-110.109;Brasiléia;Sede Municipal;ACRE;4675;4376;4504;4284;4782;4276;4517;4713;5181;5192;4972;4866;4440
30670;-687.442;-110.293;Epitaciolândia;Sede Municipal;ACRE;4675;4376;4504;4284;4782;4276;4517;4713;5181;5192;4972;4866;4440
30970;-695.658;-109.394;Assis Brasil;Sede Municipal;ACRE;4669;4401;4510;4245;4744;4239;4451;4711;5277;5227;4961;4816;4442
31603;-684.973;-10.652;Xapuri;Sede Municipal;ACRE;4662;4359;4443;4295;4788;4283;4555;4754;5208;5152;4942;4798;4370
31929;-676.768;-105.749;Capixaba;Sede Municipal;ACRE;4592;4228;4388;4277;4589;4274;4388;4630;5127;5153;5008;4680;4361
32906;-67.186;-103.257;Plácido de Castro;Sede Municipal;ACRE;4574;4226;4354;4277;4573;4276;4500;4699;5121;4926;4950;4655;4325
33560;-677.367;-101.501;Senador Guiomard;Sede Municipal;ACRE;4605;4237;4456;4228;4601;4239;4480;4655;5162;5173;5011;4708;4316
33567;-670.531;-100.755;Acrelândia;Sede Municipal;ACRE;4563;4271;4388;4257;4553;4259;4478;4671;5089;4986;4888;4631;4281
33902;-678.253;-99.758;Rio Branco;Capital Estadual;ACRE;4605;4224;4471;4226;4594;4238;4475;4640;5151;5178;4981;4773;4313
34602;-679.523;-9.834;Bujari;Sede Municipal;ACRE;4612;4256;4485;4239;4576;4303;4496;4693;5165;5101;5008;4733;4295
35335;-675.408;-95.942;Porto Acre;Sede Municipal;ACRE;4592;4176;4417;4286;4547;4257;4499;4703;5223;5077;4945;4669;4308
36055;-704.907;-94.469;Santa Rosa do Purus;Sede Municipal;ACRE;4636;4344;4566;4192;4601;4370;4468;4737;5305;5137;4891;4707;4308
36796;-719.482;-91.969;Jordão;Sede Municipal;ACRE;4682;4446;4670;4126;4659;4407;4506;4716;5316;5239;4924;4770;4400
37207;-686.718;-90.639;Sena Madureira;Sede Municipal;ACRE;4577;4254;4490;4292;4455;4219;4426;4643;5197;5095;4893;4651;4305
